page,candidate,office,district,party,county,precinct,votes
3,Bob Hickingbottom,Governor,,C,Scott,Beat 4/Clifton,0
3,David R Singletary,Governor,,IND,Scott,Beat 4/Clifton,0
3,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 4/Clifton,61
3,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 4/Clifton,17
3,Johnny DuPree,Secretary of State,,D,Scott,Beat 4/Clifton,14
3,Michael Watson,Secretary of State,,R,Scott,Beat 4/Clifton,63
3,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 4/Clifton,15
3,Lynn Fitch,Attorney General,,R,Scott,Beat 4/Clifton,61
3,Shad White,State Auditor,,R,Scott,Beat 4/Clifton,69
6,Addie Lee Green,State Treasurer,,D,Scott,Beat 4/Clifton,13
6,David McRae,State Treasurer,,R,Scott,Beat 4/Clifton,64
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 4/Clifton,14
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 4/Clifton,63
9,Mike Marlow,State Senate,31,D,Scott,Beat 4/Clifton,17
9,Tyler McCaughn,State Senate,31,R,Scott,Beat 4/Clifton,60
9,Vance Cox,State House,75,R,Scott,Beat 4/Clifton,x
9,Tom Miles,State House,75,D,Scott,Beat 4/Clifton,x
9,Joe C Bradford,State House,78,D,Scott,Beat 4/Clifton,29
9,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 4/Clifton,48
3,Jim Hood,Governor,,D,Scott,Beat 4/Contrell,130
3,Tate Reeves,Governor,,R,Scott,Beat 4/Contrell,63
3,Bob Hickingbottom,Governor,,C,Scott,Beat 4/Contrell,0
3,David R Singletary,Governor,,IND,Scott,Beat 4/Contrell,1
3,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 4/Contrell,76
3,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 4/Contrell,112
3,Johnny DuPree,Secretary of State,,D,Scott,Beat 4/Contrell,124
3,Michael Watson,Secretary of State,,R,Scott,Beat 4/Contrell,66
3,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 4/Contrell,122
3,Lynn Fitch,Attorney General,,R,Scott,Beat 4/Contrell,70
3,Shad White,State Auditor,,R,Scott,Beat 4/Contrell,129
6,Addie Lee Green,State Treasurer,,D,Scott,Beat 4/Contrell,118
6,David McRae,State Treasurer,,R,Scott,Beat 4/Contrell,69
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 4/Contrell,122
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 4/Contrell,69
9,Mike Marlow,State Senate,31,D,Scott,Beat 4/Contrell,121
9,Tyler McCaughn,State Senate,31,R,Scott,Beat 4/Contrell,71
9,Vance Cox,State House,75,R,Scott,Beat 4/Contrell,x
9,Tom Miles,State House,75,D,Scott,Beat 4/Contrell,x
9,Joe C Bradford,State House,78,D,Scott,Beat 4/Contrell,136
9,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 4/Contrell,57
3,Jim Hood,Governor,,D,Scott,Beat 4/Forkville,27
3,Tate Reeves,Governor,,R,Scott,Beat 4/Forkville,157
3,Bob Hickingbottom,Governor,,C,Scott,Beat 4/Forkville,0
3,David R Singletary,Governor,,IND,Scott,Beat 4/Forkville,0
3,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 4/Forkville,164
3,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 4/Forkville,19
3,Johnny DuPree,Secretary of State,,D,Scott,Beat 4/Forkville,22
3,Michael Watson,Secretary of State,,R,Scott,Beat 4/Forkville,157
3,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 4/Forkville,16
3,Lynn Fitch,Attorney General,,R,Scott,Beat 4/Forkville,169
3,Shad White,State Auditor,,R,Scott,Beat 4/Forkville,175
